INFO [2015-08-06 11:31:15,220] mylogger:./sch.py [line 86] [program finished...]
INFO [2015-08-06 11:32:57,839] mylogger:./sch.py [line 81] [path_file :0./data/test_1.dat]
INFO [2015-08-06 11:32:57,839] mylogger:./sch.py [line 84] [running...]
INFO [2015-08-06 11:32:57,843] mylogger:./sch.py [line 86] [program finished...]
INFO [2015-08-06 11:32:57,843] mylogger:./sch.py [line 81] [path_file :0./data/test_2.dat]
INFO [2015-08-06 11:32:57,843] mylogger:./sch.py [line 84] [running...]
INFO [2015-08-06 11:32:57,843] mylogger:./sch.py [line 86] [program finished...]
INFO [2015-08-06 11:34:33,360] mylogger:./sch.py [line 81] [path_file :0./data/test_1.dat]
INFO [2015-08-06 11:34:33,361] mylogger:./sch.py [line 84] [running...]
INFO [2015-08-06 11:34:33,374] mylogger:./sch.py [line 86] [program finished...]
INFO [2015-08-06 11:34:33,375] mylogger:./sch.py [line 81] [path_file :0./data/test_2.dat]
INFO [2015-08-06 11:34:33,375] mylogger:./sch.py [line 84] [running...]
INFO [2015-08-06 11:34:33,377] mylogger:./sch.py [line 86] [program finished...]
INFO [2015-08-06 11:35:28,852] mylogger:./sch.py [line 81] [path_file :0./data/test_1.dat]
INFO [2015-08-06 11:35:28,853] mylogger:./sch.py [line 84] [running...]
INFO [2015-08-06 11:35:28,853] mylogger:./sch.py [line 86] [program finished...]
INFO [2015-08-06 11:35:28,854] mylogger:./sch.py [line 81] [path_file :0./data/test_2.dat]
INFO [2015-08-06 11:35:28,859] mylogger:./sch.py [line 84] [running...]
INFO [2015-08-06 11:35:28,860] mylogger:./sch.py [line 86] [program finished...]
INFO [2015-08-06 11:53:15,186] mylogger:./sch.py [line 81] [path_file :0./data/test_1.dat]
INFO [2015-08-06 11:53:15,187] mylogger:./sch.py [line 84] [running...]
INFO [2015-08-06 11:53:15,191] mylogger:./sch.py [line 86] [program finished...]
INFO [2015-08-06 11:53:15,191] mylogger:./sch.py [line 81] [path_file :0./data/test_2.dat]
INFO [2015-08-06 11:53:15,191] mylogger:./sch.py [line 84] [running...]
INFO [2015-08-06 11:53:15,192] mylogger:./sch.py [line 86] [program finished...]
INFO [2015-08-06 12:01:28,195] mylogger:./sch.py [line 79] [path_file :0./data/test_1.dat]
INFO [2015-08-06 12:01:28,195] mylogger:./sch.py [line 82] [running...]
INFO [2015-08-06 12:01:28,202] mylogger:./sch.py [line 84] [program finished...]
INFO [2015-08-06 12:01:28,203] mylogger:./sch.py [line 79] [path_file :0./data/test_2.dat]
INFO [2015-08-06 12:01:28,203] mylogger:./sch.py [line 82] [running...]
INFO [2015-08-06 12:01:28,205] mylogger:./sch.py [line 84] [program finished...]
INFO [2015-08-06 12:03:35,032] mylogger:./sch.py [line 79] [path_file :0./data/test_1.dat]
INFO [2015-08-06 12:03:35,033] mylogger:./sch.py [line 82] [running...]
INFO [2015-08-06 12:03:35,039] mylogger:./sch.py [line 84] [program finished...]
INFO [2015-08-06 12:03:35,039] mylogger:./sch.py [line 79] [path_file :0./data/test_2.dat]
INFO [2015-08-06 12:03:35,039] mylogger:./sch.py [line 82] [running...]
INFO [2015-08-06 12:03:35,040] mylogger:./sch.py [line 84] [program finished...]
INFO [2015-08-06 12:03:43,830] mylogger:./sch.py [line 79] [path_file :0./data/test_1.dat]
INFO [2015-08-06 12:03:43,830] mylogger:./sch.py [line 82] [running...]
INFO [2015-08-06 12:03:43,831] mylogger:./sch.py [line 84] [program finished...]
INFO [2015-08-06 12:03:43,831] mylogger:./sch.py [line 79] [path_file :0./data/test_2.dat]
INFO [2015-08-06 12:03:43,831] mylogger:./sch.py [line 82] [running...]
INFO [2015-08-06 12:03:43,831] mylogger:./sch.py [line 84] [program finished...]
INFO [2015-08-06 12:03:44,990] mylogger:./sch.py [line 79] [path_file :0./data/test_1.dat]
INFO [2015-08-06 12:03:44,990] mylogger:./sch.py [line 82] [running...]
INFO [2015-08-06 12:03:44,991] mylogger:./sch.py [line 84] [program finished...]
INFO [2015-08-06 12:03:44,991] mylogger:./sch.py [line 79] [path_file :0./data/test_2.dat]
INFO [2015-08-06 12:03:44,991] mylogger:./sch.py [line 82] [running...]
INFO [2015-08-06 12:03:44,991] mylogger:./sch.py [line 84] [program finished...]
INFO [2015-08-06 12:03:47,148] mylogger:./sch.py [line 79] [path_file :0./data/test_1.dat]
INFO [2015-08-06 12:03:47,148] mylogger:./sch.py [line 82] [running...]
INFO [2015-08-06 12:03:47,149] mylogger:./sch.py [line 84] [program finished...]
INFO [2015-08-06 12:03:47,149] mylogger:./sch.py [line 79] [path_file :0./data/test_2.dat]
INFO [2015-08-06 12:03:47,149] mylogger:./sch.py [line 82] [running...]
INFO [2015-08-06 12:03:47,149] mylogger:./sch.py [line 84] [program finished...]
INFO [2015-08-06 12:03:51,780] mylogger:./sch.py [line 79] [path_file :0./data/test_1.dat]
INFO [2015-08-06 12:03:51,780] mylogger:./sch.py [line 82] [running...]
INFO [2015-08-06 12:03:51,780] mylogger:./sch.py [line 84] [program finished...]
INFO [2015-08-06 12:03:51,780] mylogger:./sch.py [line 79] [path_file :0./data/test_2.dat]
INFO [2015-08-06 12:03:51,781] mylogger:./sch.py [line 82] [running...]
INFO [2015-08-06 12:03:51,781] mylogger:./sch.py [line 84] [program finished...]
INFO [2015-08-06 12:03:52,991] mylogger:./sch.py [line 79] [path_file :0./data/test_1.dat]
INFO [2015-08-06 12:03:52,991] mylogger:./sch.py [line 82] [running...]
INFO [2015-08-06 12:03:52,991] mylogger:./sch.py [line 84] [program finished...]
INFO [2015-08-06 12:03:52,991] mylogger:./sch.py [line 79] [path_file :0./data/test_2.dat]
INFO [2015-08-06 12:03:52,991] mylogger:./sch.py [line 82] [running...]
